Time.hours,Time.days,Treatment,Flask,CO2.ppm,m.z
1031.25,42.96875,13C700,23,236.66282,44
1078.75,44.94791667,13C700,23,220.06022000000002,44
1103.0,45.95833333,13C700,23,349.24039,44
1126.0,46.91666667,13C700,23,-13.7806,44
1150.0,47.91666667,13C700,23,42.17287,44
41.0,1.7083333330000001,13C700,24,993.43601,44
114.0,4.75,13C700,24,95.56738,44
157.5,6.5625,13C700,24,421.37473,44
204.5,8.520833332999999,13C700,24,178.53576,44
274.5,11.4375,13C700,24,474.03767999999997,44
321.5,13.39583333,13C700,24,421.7628,44
391.0,16.29166667,13C700,24,116.94941999999999,44
463.5,19.3125,13C700,24,909.10774,44
487.0,20.29166667,13C700,24,109.36976000000001,44
535.0,22.29166667,13C700,24,14.09194,44
581.5,24.22916667,13C700,24,227.17147999999997,44
653.25,27.21875,13C700,24,24.2288,44
699.75,29.15625,13C700,24,174.53721000000002,44
749.75,31.23958333,13C700,24,208.41993,44
796.25,33.17708333,13C700,24,235.96679,44
815.25,33.96875,13C700,24,137.33928999999998,44
868.25,36.17708333,13C700,24,182.20189,44
915.25,38.13541667,13C700,24,-12.13674,44
962.75,40.11458333,13C700,24,181.04572,44
986.75,41.11458333,13C700,24,96.29890999999999,44
1031.25,42.96875,13C700,24,234.2203,44
1078.75,44.94791667,13C700,24,216.9794,44
1103.0,45.95833333,13C700,24,169.63205,44
1126.0,46.91666667,13C700,24,17.11824,44
1150.0,47.91666667,13C700,24,43.03546,44
41.0,1.7083333330000001,13C700,25,2505.55932,44
114.0,4.75,13C700,25,834.19048,44
157.5,6.5625,13C700,25,428.95407,44
204.5,8.520833332999999,13C700,25,695.47095,44
274.5,11.4375,13C700,25,1809.56902,44
321.5,13.39583333,13C700,25,369.37765,44
391.0,16.29166667,13C700,25,561.50895,44
463.5,19.3125,13C700,25,557.41496,44
487.0,20.29166667,13C700,25,226.57157999999998,44
535.0,22.29166667,13C700,25,465.87780999999995,44
581.5,24.22916667,13C700,25,-36.24283,44
653.25,27.21875,13C700,25,375.9885,44
699.75,29.15625,13C700,25,300.0472,44
749.75,31.23958333,13C700,25,356.12493,44
796.25,33.17708333,13C700,25,297.13386,44
815.25,33.96875,13C700,25,178.07903000000002,44
868.25,36.17708333,13C700,25,348.31412,44
915.25,38.13541667,13C700,25,46.55303,44
962.75,40.11458333,13C700,25,244.16414,44
986.75,41.11458333,13C700,25,131.52426,44
1031.25,42.96875,13C700,25,232.61948999999998,44
1078.75,44.94791667,13C700,25,207.30293999999998,44
1103.0,45.95833333,13C700,25,195.14529,44
1126.0,46.91666667,13C700,25,3.97729,44
1150.0,47.91666667,13C700,25,58.042190000000005,44
41.0,1.7083333330000001,13C_Control,26,169.83985,44
114.0,4.75,13C_Control,26,187.87576,44
157.5,6.5625,13C_Control,26,103.29049,44
204.5,8.520833332999999,13C_Control,26,358.73014,44
274.5,11.4375,13C_Control,26,323.39249,44
321.5,13.39583333,13C_Control,26,142.82667,44
391.0,16.29166667,13C_Control,26,279.13448,44
463.5,19.3125,13C_Control,26,408.94648,44
487.0,20.29166667,13C_Control,26,162.06891000000002,44
535.0,22.29166667,13C_Control,26,210.83127000000002,44
581.5,24.22916667,13C_Control,26,269.72867,44
653.25,27.21875,13C_Control,26,226.10602000000003,44
699.75,29.15625,13C_Control,26,229.91682000000003,44
749.75,31.23958333,13C_Control,26,237.85963999999998,44
796.25,33.17708333,13C_Control,26,328.46071,44
815.25,33.96875,13C_Control,26,158.78545,44
868.25,36.17708333,13C_Control,26,341.25723999999997,44
915.25,38.13541667,13C_Control,26,1.2947899999999999,44
962.75,40.11458333,13C_Control,26,214.5152,44
986.75,41.11458333,13C_Control,26,129.17809,44
1031.25,42.96875,13C_Control,26,208.60351,44
1078.75,44.94791667,13C_Control,26,192.52103,44
1103.0,45.95833333,13C_Control,26,146.74375,44
1126.0,46.91666667,13C_Control,26,16.418020000000002,44
1150.0,47.91666667,13C_Control,26,,44
41.0,1.7083333330000001,13C_Control,27,298.51092,44
114.0,4.75,13C_Control,27,242.29838999999998,44
157.5,6.5625,13C_Control,27,65.43086,44
204.5,8.520833332999999,13C_Control,27,360.26783,44
274.5,11.4375,13C_Control,27,599.08616,44
321.5,13.39583333,13C_Control,27,151.70967,44
391.0,16.29166667,13C_Control,27,319.24682,44
463.5,19.3125,13C_Control,27,516.19445,44
487.0,20.29166667,13C_Control,27,222.63667999999998,44
535.0,22.29166667,13C_Control,27,274.48469,44
581.5,24.22916667,13C_Control,27,96.66937,44
653.25,27.21875,13C_Control,27,278.84186,44
699.75,29.15625,13C_Control,27,504.82132,44
749.75,31.23958333,13C_Control,27,373.60048,44
796.25,33.17708333,13C_Control,27,295.64662000000004,44
815.25,33.96875,13C_Control,27,186.39335,44
868.25,36.17708333,13C_Control,27,314.01867000000004,44
915.25,38.13541667,13C_Control,27,57.59928000000001,44
962.75,40.11458333,13C_Control,27,228.4187,44
